ConditionEvents,en,uk
Evt4063_Select0_Random0_Seq1_Hint0,Two of a kind! You were a hair away from glory.,Дві єдині в своєму роді! Ти був на волосину від слави.
Evt4063_Select0_Random0_Seq2_Hint0,Three of a kind! Ding ding ding!,Три однакові! Дзень-дзень-дзень!
Evt4063_Select1,[Put in 10 tokens],[Покладіть 10 жетонів].
Evt4063_Select1_Random0_Seq0_Hint0,"None of the symbols match up. You get a gut feeling that this thing$STR_2s been rigged to not pay out large bets, and you$STR_2re not sure if it$STR_2s just your frustration talking.","Жоден із символів не $STR_2 збігається. Ви$STR_2 відчуваєте, що ця штука сфальсифікована, щоб не виплачувати великі ставки, і ви$STR_2 не впевнені, що це просто ваше розчарування."
Evt4063_Select1_Random0_Seq1_Hint0,Two of a kind! You were a hair away from glory.,Дві єдині в своєму роді! Ти був на волосину від слави.
Evt4063_Select2,[Leave],[Піти]
EventTitle4064,Dionysia - Card Table,Діонісія - Картковий стіл
EventText4064,"You find a nearly-full table of people playing a pre-Fall game called Blackjack. The rules are simple: try to get as close to 21 without going over. If you beat the dealer, you win.\nYou$STR_2ll get two cards to start. If your initial hand is a 21, you$STR_2ll win the round immediately. Otherwise, you can choose to $STR_1hit$STR_1 to get another card, or $STR_1stay$STR_1 to lock in your hand.","Ви бачите майже повний стіл людей, які грають у передосінню гру під назвою блекджек. Правила прості: спробуйте набрати якомога більше очок, не перевищуючи 21. Якщо ви поб'єте дилера, ви виграли.\nВам$STR_2 дається дві карти для початку. Якщо ваша початкова комбінація - 21, ви$STR_2 одразу ж виграєте раунд. В іншому випадку ви можете вибрати $STR_1hit$STR_1, щоб отримати ще одну карту, або $STR_1stay$STR_1, щоб зафіксувати свою руку."
Evt4064_Select0,[Place a bet],[Зробити ставку]
Evt4064_Select0_Random0_Seq0_Hint0,"You got a 21! That$STR_2s a blackjack, baby.","У тебе $STR_2 21! Це блекджек, крихітко."
Evt4064_Select1,[Leave],[Піти]
EventTitle4065,Dionysia - Card Table 2,Діонісія - Картка Таблиця 2
EventText4065,"The dealer divvies out 2 cards to each player. You$STR_2ve got an 18. A good hand, but the dealer has a 9 showing.","Дилер роздає по 2 карти кожному гравцю. У вас $STR_2ve на руках 18. Хороша рука, але у дилера на руках 9."
Evt4065_Select0,[Hit],[Удар]
Evt4065_Select0_Random0_Seq0_Hint0,"A 2! That brings you up to 20! You think you$STR_2re sitting pretty, but then the dealer gets a 21. Damn.","A 2! Це приносить вам 20! Ви думаєте, що ви$STR_2 сидите гарненько, але тут у дилера з'являється 21. Чорт забирай."
Evt4065_Select0_Random0_Seq1_Hint0,"You hit on an 18. Guess you$STR_2re feeling lucky today, huh? Unfortunately, you aren$STR_2t. You bust.","Ти ви$STR_2била $STR_2 вісімку. Гадаю, вам сьогодні пощастило, так? На жаль, це не так. Ти програв."
Evt4065_Select0_Random0_Seq2_Hint0,A 3! That brings you up to 21! You beat the dealer.,A 3! Це піднімає вас до 21! Ти побив дилера.
Evt4065_Select1,[Stay],[Залишайся]
Evt4065_Select1_Random0_Seq0_Hint0,"The dealer reveals their face-down card, a jack. Their 19 beats your 18. Damn.","Дилер відкриває свою карту сорочкою догори, валета. Їхні 19 б'ють твої 18. Чорт забирай."
