Localization,en,uk
DungeonPrepareUI_SaveToCurrentPreset,Replace With Inventory,Замінити на інвентар
DungeonPrepareUI_SaveToNewPreset,Save As New,Зберегти як новий
DungeonPrepareUI_StartAfter,Leave,Йди.
DungeonPrepareUI_StartResearch,Start,Старт
DungeonPrepareUI_TeamDeploy,Team Setup,Налаштування команди
DungeonPrepareUIScript_ChangePresetName,Rename,Перейменувати
DungeonPrepareUIScript_ClosePreset,Hide Presets,Приховати пресети
DungeonPrepareUIScript_ConfirmDeletePrefab,Delete the current preset?,Видалити поточний пресет?
DungeonPrepareUIScript_Give,Transfer {1} from {0} to:,Перемістити {1} з {0} до:
DungeonPrepareUIScript_NoChosenPrefab,No preset selected,Пресети не вибрано
DungeonPrepareUIScript_OpenPreset,Open Presets,Відкриті пресети
DungeonPrepareUIScript_OverLoad1,Encumbered,Обтяжений
DungeonPrepareUIScript_Prefab1,Preset 1,Попереднє налаштування 1
DungeonPrepareUIScript_PrefabToWho,Select whose inventory to replace,"Виберіть, чий інвентар замінити"
DungeonPrepareUIScript_Stock,Inventory,Інвентаризація
DungeonPrepareUIScript_WhoPrefab,Select whose inventory to load,"Виберіть, чий інвентар завантажувати"
DungeonStartBattleUI_Enemy,Enemies,Вороги
DungeonStartBattleUI_StartBattle,Fight,Боротьба
DungeonStartBattleUIScript_Surprise1,The enemy caused your team to panic.,Ворог викликав у вашої команди паніку.
DungeonStartBattleUI_EliteDangerHint,This fight will be tough. Make sure you're prepared.,"Цей бій буде важким. Переконайтеся, що ви готові."
DungeonStartBattleUIScript_Surprise2,Proper planning has given you the initiative.,Правильне планування дало вам ініціативу.
DungeonStartBattleUIScript_Surprise3,Your Stun Grenade has given you the initiative. (Stun Grenades -1),Ваша світлошумова граната передала вам ініціативу. (Оглушувальні гранати -1)
DungeonStartBattleUIScript_Surprise4,You took the enemy by surprise.,Ви застали ворога зненацька.
DungeonTrophyUI_CompleteExtort,Exit,Виходьте.
DungeonTrophyUI_EqualAll,Split Equally,Розділити порівну
DungeonTrophyUI_Trophy,Loot,Мародерство.
DungeonTrophyUIScript_ChooseEqual,Amount to split:,Сума на двох:
DungeonTrophyUIScript_Give1,Transfer {0} from loot to:,Перенесіть {0} зі здобичі до:
DungeonTrophyUIScript_Give2,Transfer {1} from {0} to:,Перемістити {1} з {0} до:
DungeonUI_AcoutRate,Scout Chance: ,Скаут Ченс:
DungeonUI_Action,AP: ,АССОШІЕЙТЕД ПРЕС:
DungeonUI_Burden,Carry Weight: ,Мати вагу:
DungeonUI_Captain,Leader: ,Лідер:
DungeonUI_CaptainInfo,Team Info,Інформація про команду
DungeonUI_ChooseItemPutInBag,Select items to give to this character,"Виберіть предмети, які потрібно дати цьому персонажу"
DungeonUI_ChooseMerge,Select an adjacent team to merge with\n(Merged team will have the lower of the two teams' AP),Виберіть сусідню команду для об'єднання\n(Об'єднана команда матиме менший AP з двох команд)
DungeonUI_EndRound,End Turn,Кінцевий поворот
DungeonUI_EqualDistribution,Split Equally,Розділити порівну
DungeonUI_Hint,Characters can carry up to 2x their Carry Weight.,Персонажі можуть переносити до 2 разів більше власної ваги.
DungeonUI_HintMove,Select a tile to move to.,"Виберіть плитку, до якої потрібно перейти."
DungeonUI_HintNoMember,Original squad can't have 0 members.,Оригінальний загін не може мати 0 учасників.
DungeonUI_HintWait,Executing command...,Виконую команду...
DungeonUI_Member,Members,Члени
DungeonUI_Merge,Merge,Злиття
DungeonUI_Move,Move,Відійди.
DungeonUI_NewTeam,New Team,Нова команда
DungeonUI_NoNewMember,There are no open tiles to create a new team.,Відкритих тайлів для створення нової команди немає.
DungeonUI_NowExplore,Explored: ,Вивчено:
DungeonUI_NowRound,Current Turn: ,Поточний Поворот:
DungeonUI_PositionDiscription,Terrain Info,Інформація про місцевість
DungeonUI_Retreat,Retreat,Відступ
DungeonUI_Scout,Scout,Розвідник.
DungeonUI_ScoutR,Scout Range:,Скаутський полігон:
DungeonUI_Surrender,Surrender,Здавайтеся!
DungeonUI_Victory,Leave,Йди.
DungeonUIScript_Action0,You can't create a new team with 0 AP.,Ви не можете створити нову команду з 0 AP.
DungeonUIScript_AlreadyCompleteDungeon,You've already finished exploring this Ruin.,Ви вже закінчили досліджувати цю Руїну.
DungeonUIScript_CantMove,Unable to move to this location.\n<size=40>(Unexplored tiles cost extra AP to move to)</size>,Неможливо переміститися в цю локацію.\n<size=40>(Переміщення на недосліджені тайли коштує додаткових одиниць енергії)</size>.
DungeonUIScript_ChooseAnItem,Select an item,Виберіть елемент
DungeonUIScript_ChooseNewMember,Select the new team's members,Оберіть членів нової команди
DungeonUIScript_ChoosePosition,Select a location for the new team.,Оберіть локацію для нової команди.
DungeonUIScript_CompleteDungeon1,You've already finished exploring this Ruin.,Ви вже закінчили досліджувати цю Руїну.
DungeonUIScript_ConfirmSkill,Are you sure you want to use this skill?,"Ви впевнені, що хочете використовувати цю навичку?"
DungeonUIScript_Creat,Create,Створити
DungeonUIScript_HintBreakDown,May trigger Stress events at the end of each turn.,Може викликати події Стресу в кінці кожного ходу.
DungeonUIScript_HintDehydration,Combat AP -1. Prolonged dehydration can lead to death.,Бойовий AP -1. Тривале зневоднення може призвести до смерті.
DungeonUIScript_HintDrunk,Attack -20%. Gradually reduces Stress. Will sober up after a while.,Атака -20%. Поступово знижує стрес. Через деякий час протверезить.
DungeonUIScript_HintFatigued,Combat AP -1.,Бойовий рівень - 1.
DungeonUIScript_HintHappy,"Focus, Defense, and Attack +20%.\n","Фокус, захист і атака +20%.\n"
DungeonUIScript_HintHungry,"Combat AP -1, Attack -20%. Prolonged hunger can lead to death.","Бойовий AP -1, Атака -20%. Тривалий голод може призвести до смерті."
DungeonUIScript_HintInjured,"Combat AP -1, Attack -50%. Can eventually lead to death if left untreated.","Бойовий AP -1, Атака -50%. Якщо не лікувати, може призвести до смерті."
DungeonUIScript_HintTense,Combat AP -1.,Бойовий рівень - 1.
DungeonUIScript_HintTired,Combat AP -1.,Бойовий рівень - 1.
DungeonUIScript_Move1,Select a map tile to move to.\n<size=40>(Costs {0} AP)</size>,"Виберіть тайл мапи, на який ви хочете переміститися.\n<size=40>(Costs {0} AP)</size>."
DungeonUIScript_Move2,Select a map tile to move to.\n<size=40>(Unexplored tiles cost extra AP to move to)</size>,"Виберіть тайл карти, на який ви хочете переміститися.\n<size=40>(Переміщення на недосліджені тайли коштує додаткових очок)</size>."
DungeonUIScript_NAlreadyCompleteDungeon,You've haven't finished exploring this Ruin.,Ви ще не закінчили досліджувати цю Руїну.
DungeonUIScript_NoArea,There are no open tiles to create a new team.,Відкритих тайлів для створення нової команди немає.
